id,nome,codigo_ibge,lat,lon
0,Aguaí,3500303,-22.0592036,-46.979384
1,Alambari,3500758,-23.550338,-47.897971
2,Alumínio,3501152,-23.5203479,-47.2575256
3,Americana,3501608,-22.7392463,-47.3306032
4,Amparo,3501905,-22.70111,-46.76444
5,Analândia,3502002,-22.128917,-47.661939
6,Angatuba,3502200,-23.4938938,-48.4110675
7,Apiaí,3502705,-24.5076527,-48.8461582
8,Arandu,3503109,-23.1345103,-49.0545651
9,Araras,3503307,-22.3569192,-47.3838766
10,Araçariguama,3502754,-23.4388277,-47.0613084
11,Araçoiaba da Serra,3502903,-23.5045367,-47.6168158
12,Artur Nogueira,3503802,-22.572737,-47.172679
13,Arujá,3503901,-23.396266,-46.3175449
14,Atibaia,3504107,-23.1177393,-46.5547861
15,Avaré,3504503,-23.1045215,-48.9259103
16,Barra do Chapéu,3505351,-24.472203,-49.023784
17,Barra do Turvo,3505401,-24.756421,-48.5056942
18,Barueri,3505708,-23.5112184,-46.8764612
19,Barão de Antonina,3505005,-23.6295651,-49.5632104
20,Bertioga,3506359,-23.848568,-46.139586
21,Biritiba Mirim,3506607,-23.5697765,-46.0407456
22,Boituva,3507001,-23.2838893,-47.6738231
23,Bom Jesus dos Perdões,3507100,-23.1353864,-46.4648052
24,Bom Sucesso de Itararé,3507159,-24.3190016,-49.1446207
25,Bragança Paulista,3507605,-22.9520235,-46.5418586
26,Buri,3508009,-23.79849,-48.598924
27,Cabreúva,3508405,-23.3076663,-47.1324726
28,Caconde,3508702,-21.5281123,-46.6434015
29,Caieiras,3509007,-23.3644621,-46.7484765
30,Cajamar,3509205,-23.3561111,-46.8769444
31,Cajati,3509254,-24.7272376,-48.1077914
32,Campina do Monte Alegre,3509452,-23.5935653,-48.4801876
33,Campinas,3509502,-22.9056391,-47.059564
34,Campo Limpo Paulista,3509601,-23.207791,-46.788919
35,Cananéia,3509908,-25.0104609,-47.9315628
36,Capela do Alto,3510302,-23.4704798,-47.7352309
37,Capivari,3510401,-22.9999295,-47.5031066
38,Capão Bonito,3510203,-24.0048759,-48.3489848
39,Carapicuíba,3510609,-23.5234673,-46.8406808
40,Casa Branca,3510807,-21.7743137,-47.0852175
41,Cerqueira César,3511409,-23.0353135,-49.1650519
42,Cerquilho,3511508,-23.1626556,-47.7433878
43,Cesário Lange,3511607,-23.226035,-47.954453
44,Charqueada,3511706,-22.50958,-47.775468
45,Conchal,3512209,-22.337512,-47.172927
46,Cordeirópolis,3512407,-22.4768324,-47.4550551
47,Coronel Macedo,3512605,-23.6304001,-49.313234
48,Corumbataí,3512704,-22.2210521,-47.6249638
49,Cosmópolis,3512803,-22.6437398,-47.1972086
50,Cotia,3513009,-23.603889,-46.918889
51,Cubatão,3513504,-23.8842077,-46.4213061
52,Diadema,3513801,-23.6866428,-46.6246935
53,Divinolândia,3513900,-21.6604584,-46.7371151
54,Eldorado,3514809,-24.522583,-48.1093489
55,Elias Fausto,3514908,-23.0416538,-47.3718002
56,Embu das Artes,3515004,-23.6495294,-46.8528497
57,Embu-Guaçu,3515103,-23.8317997,-46.8156204
58,Engenheiro Coelho,3515152,-22.4896659,-47.2119005
59,Espírito Santo do Pinhal,3515186,-22.1929522,-46.7470021
60,Estiva Gerbi,3557303,-22.2742719,-46.9523302
61,Ferraz de Vasconcelos,3515707,-23.541056,-46.37097
